"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"^GSPC","Nil","S&amp;P 500",2584.84,NA,NA,NA,NA,NA,NA,0.193160941293771,-0.00468999083565003,"https://finance.yahoo.com/quote/^GSPC?p=^GSPC","2,166.38 - 2,597.02",2597.02,2166.38
"^VIX","Nil","VOLATILITY S&amp;P 500",11.57,NA,NA,NA,NA,NA,NA,0.308823529411765,-0.330439814814815,"https://finance.yahoo.com/quote/^VIX?p=^VIX","8.84 - 17.28",17.28,8.84
"2801.HK","Nil","ISHARES CHINA",28.4,"N/A",NA,NA,NA,NA,NA,0.584821428571428,-0.00699300699300709,"https://finance.yahoo.com/quote/2801.HK?p=2801.HK","17.920 - 28.600",28.6,17.92
"2805.HK","Nil","VG FTSE ASIAXJ",24.8,"N/A",NA,NA,NA,NA,NA,0.364136413641364,-0.00799999999999997,"https://finance.yahoo.com/quote/2805.HK?p=2805.HK","18.180 - 25.000",25,18.18
"2821.HK","Nil","ABF Pan Asia Bond Index",114.9,"N/A",NA,NA,NA,NA,NA,0.0435967302452317,-0.0141570141570141,"https://finance.yahoo.com/quote/2821.HK?p=2821.HK","110.100 - 116.550",116.55,110.1
"A35.SI","Nil","ABF SG BOND ETF",1.158,"N/A",NA,NA,NA,NA,NA,0.0330062444246208,-0.0186440677966102,"https://finance.yahoo.com/quote/A35.SI?p=A35.SI","1.121 - 1.180",1.18,1.121
"AAXJ","Nil","iShares MSCI All Country Asia e",76.11,NA,NA,NA,NA,NA,NA,0.412059369202226,-0.00626713670191936,"https://finance.yahoo.com/quote/AAXJ?p=AAXJ","53.90 - 76.59",76.59,53.9
"ADRE","Nil","BLDRS Emerging Markets 50 ADR I",42.8738,NA,NA,NA,NA,NA,NA,0.349081183134047,-0.0255954545454545,"https://finance.yahoo.com/quote/ADRE?p=ADRE","31.7800 - 44.0000",44,31.78
"ISAC.L","Nil","ISHARES V PUBLIC LIMITED COMPAN",46.46,"N/A",NA,NA,NA,NA,NA,0.364063417498532,0,"https://finance.yahoo.com/quote/ISAC.L?p=ISAC.L","34.06 - 46.46",46.46,34.06
"BIK","Nil","SPDR S&amp;P BRIC 40",20.97,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/BIK?p=BIK","undefined - undefined",NA,NA
"BKF","Nil","iShares MSCI BRIC Index Fund",44.61,NA,NA,NA,NA,NA,NA,0.439496611810261,-0.00800533689126083,"https://finance.yahoo.com/quote/BKF?p=BKF","30.99 - 44.97",44.97,30.99
"BKF","Nil","iShares MSCI BRIC Index Fund",44.61,NA,NA,NA,NA,NA,NA,0.439496611810261,-0.00800533689126083,"https://finance.yahoo.com/quote/BKF?p=BKF","30.99 - 44.97",44.97,30.99
"BYJ.SI","Nil","PHIL AP DIV REIT S$D",1.35,"N/A",NA,NA,NA,NA,NA,0.5,-0.00735294117647059,"https://finance.yahoo.com/quote/BYJ.SI?p=BYJ.SI","0.90 - 1.36",1.36,0.9
"CHIM","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/CHIM?p=CHIM","",NA,NA
"CHIX","Nil","Global X China Financials ETF",17.98,NA,NA,NA,NA,NA,NA,0.416863672182821,-0.0131723380900109,"https://finance.yahoo.com/quote/CHIX?p=CHIX","12.69 - 18.22",18.22,12.69
"CVY","Nil","Guggenheim Multi-Asset Income E",21.45,"N/A",NA,NA,NA,NA,NA,0.1,-0.0205479452054794,"https://finance.yahoo.com/quote/CVY?p=CVY","19.50 - 21.90",21.9,19.5
"DEM","Nil","WisdomTree Emerging Markets Hig",43.22,"N/A",NA,NA,NA,NA,NA,0.20490660719264,-0.03698752228164,"https://finance.yahoo.com/quote/DEM?p=DEM","35.87 - 44.88",44.88,35.87
"DGS","Nil","WisdomTree Emerging Market Smal",48.94,"N/A",NA,NA,NA,NA,NA,0.27547563200417,-0.0422700587084149,"https://finance.yahoo.com/quote/DGS?p=DGS","38.37 - 51.10",51.1,38.37
"ECH","Nil","iShares MSCI Chile Capped Inves",49.1,"N/A",NA,NA,NA,NA,NA,0.363510136073313,-0.0515742708132123,"https://finance.yahoo.com/quote/ECH?p=ECH","36.01 - 51.77",51.77,36.01
"EDIV","Nil","SPDR S&amp;P Emerging Markets Divid",29.96,"N/A",NA,NA,NA,NA,NA,0.181854043392505,-0.06375,"https://finance.yahoo.com/quote/EDIV?p=EDIV","25.35 - 32.00",32,25.35
"EEM","Nil","iShares MSCI Emerging Index Fun",46.19,"N/A",NA,NA,NA,NA,NA,0.360931054802593,-0.0145082142095157,"https://finance.yahoo.com/quote/EEM?p=EEM","33.94 - 46.87",46.87,33.94
"EEME","Nil","iShares MSCI Emerging Markets E",38.47,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/EEME?p=EEME","undefined - undefined",NA,NA
"EFA","Nil","iShares MSCI EAFE ETF",68.99,"N/A",NA,NA,NA,NA,NA,0.229768270944741,-0.0144285714285715,"https://finance.yahoo.com/quote/EFA?p=EFA","56.10 - 70.00",70,56.1
"ERUS","Nil","iShares MSCI Russia Capped ETF ",34.45,"N/A",NA,NA,NA,NA,NA,0.26747608535688,-0.0179589509692131,"https://finance.yahoo.com/quote/ERUS?p=ERUS","27.18 - 35.08",35.08,27.18
"ES3.SI","Nil","STI ETF",3.44,"N/A",NA,NA,NA,NA,NA,0.215547703180212,-0.00864553314121045,"https://finance.yahoo.com/quote/ES3.SI?p=ES3.SI","2.83 - 3.47",3.47,2.83
"ESR","Nil","iShares MSCI Emerging Markets E",0,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/ESR?p=ESR","undefined - undefined",NA,NA
"EWA","Nil","iShares MSCI Australia Index Fu",23.01,"N/A",NA,NA,NA,NA,NA,0.151651651651652,-0.00818965517241369,"https://finance.yahoo.com/quote/EWA?p=EWA","19.98 - 23.20",23.2,19.98
"EWC","Nil","iShares MSCI Canada Index Fund",29.2,"15.86",NA,NA,NA,NA,NA,0.168467386954782,-0.00848896434634975,"https://finance.yahoo.com/quote/EWC?p=EWC","24.99 - 29.45",29.45,24.99
"EWEM","Nil","Guggenheim MSCI Emerging Market",33.1625,NA,NA,NA,NA,NA,NA,0.226877543470218,-0.0311860940695295,"https://finance.yahoo.com/quote/EWEM?p=EWEM","27.0300 - 34.2300",34.23,27.03
"EWH","Nil","iShares MSCI Hong Kong Index Fu",25.65,"12.92",NA,NA,NA,NA,NA,0.331084587441619,-0.00155702608018695,"https://finance.yahoo.com/quote/EWH?p=EWH","19.27 - 25.69",25.69,19.27
"EWI","Nil","iShares MSCI Italy Capped Index",30.58,"N/A",NA,NA,NA,NA,NA,0.470192307692308,-0.0325846251186334,"https://finance.yahoo.com/quote/EWI?p=EWI","20.80 - 31.61",31.61,20.8
"EWJ","Nil","iShares MSCI Japan Index Fund",58.82,"155.61",NA,NA,NA,NA,NA,0.205574912891986,-0.0221113881961762,"https://finance.yahoo.com/quote/EWJ?p=EWJ","48.79 - 60.15",60.15,48.79
"EWL","Nil","iShares MSCI Switzerland Capped",34.16,"N/A",NA,NA,NA,NA,NA,0.225690706853247,-0.0353007624964699,"https://finance.yahoo.com/quote/EWL?p=EWL","27.87 - 35.41",35.41,27.87
"EWM","Nil","iShares MSCI Malaysia Index Fun",32.23,"N/A",NA,NA,NA,NA,NA,0.168600435097897,-0.027459263729632,"https://finance.yahoo.com/quote/EWM?p=EWM","27.58 - 33.14",33.14,27.58
"EWN","Nil","iShares MSCI Netherlands Index ",31.2,"N/A",NA,NA,NA,NA,NA,0.352992194275802,-0.0240850797622771,"https://finance.yahoo.com/quote/EWN?p=EWN","23.06 - 31.97",31.97,23.06
"EWP","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/EWP?p=EWP","",NA,NA
"EWQ","Nil","iShares MSCI France Index Fund",30.57,"N/A",NA,NA,NA,NA,NA,0.325097529258778,-0.0295238095238095,"https://finance.yahoo.com/quote/EWQ?p=EWQ","23.07 - 31.50",31.5,23.07
"EWS","Nil","iShares MSCI Singapore Capped E",25.92,"112.21",NA,NA,NA,NA,NA,0.305135951661632,0,"https://finance.yahoo.com/quote/EWS?p=EWS","19.86 - 25.92",25.92,19.86
"EWT","Nil","iShares MSCI Taiwan Capped ETF",37.55,"12.58",NA,NA,NA,NA,NA,0.298409405255878,-0.0185572399372713,"https://finance.yahoo.com/quote/EWT?p=EWT","28.92 - 38.26",38.26,28.92
"EWU","Nil","iShares MSCI United Kingdom ETF",34.38,"N/A",NA,NA,NA,NA,NA,0.163058186738836,-0.0304568527918781,"https://finance.yahoo.com/quote/EWU?p=EWU","29.56 - 35.46",35.46,29.56
"EWW","Nil","iShares MSCI Mexico Capped Inve",49.74,"N/A",NA,NA,NA,NA,NA,0.206403104535533,-0.139744033206503,"https://finance.yahoo.com/quote/EWW?p=EWW","41.23 - 57.82",57.82,41.23
"EWY","Nil","iShares MSCI South Korea Capped",74.2,"N/A",NA,NA,NA,NA,NA,0.428571428571429,-0.0295579387915249,"https://finance.yahoo.com/quote/EWY?p=EWY","51.94 - 76.46",76.46,51.94
"EWY","Nil","iShares MSCI South Korea Capped",74.2,"N/A",NA,NA,NA,NA,NA,0.428571428571429,-0.0295579387915249,"https://finance.yahoo.com/quote/EWY?p=EWY","51.94 - 76.46",76.46,51.94
"EZA","Nil","iShares MSCI South Africa Index",58.85,NA,NA,NA,NA,NA,NA,0.189369442198868,-0.0724980299448385,"https://finance.yahoo.com/quote/EZA?p=EZA","49.48 - 63.45",63.45,49.48
"FCA","Nil","First Trust China AlphaDEX Fund",30.2046,NA,NA,NA,NA,NA,NA,0.639771986970684,-0.0174170461938842,"https://finance.yahoo.com/quote/FCA?p=FCA","18.4200 - 30.7400",30.74,18.42
"FCG","Nil","First Trust Natural Gas ETF",22.33,"N/A",NA,NA,NA,NA,NA,0.197319034852547,-0.220593368237347,"https://finance.yahoo.com/quote/FCG?p=FCG","18.65 - 28.65",28.65,18.65
"FCHI","Nil","iShares FTSE China (HK Listed)",47.8,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/FCHI?p=FCHI","undefined - undefined",NA,NA
"FDD","Nil","First Trust Dow Jones STOXX Sel",13.42,NA,NA,NA,NA,NA,NA,0.190771960958296,-0.0254175744371823,"https://finance.yahoo.com/quote/FDD?p=FDD","11.27 - 13.77",13.77,11.27
"FEM","Nil","First Trust Emerging Markets Al",27,NA,NA,NA,NA,NA,NA,0.383905689390056,-0.055944055944056,"https://finance.yahoo.com/quote/FEM?p=FEM","19.51 - 28.60",28.6,19.51
"FGD","Nil","First Trust DJ Global Select Di",25.49,NA,NA,NA,NA,NA,NA,0.131380381713271,-0.0233716475095787,"https://finance.yahoo.com/quote/FGD?p=FGD","22.53 - 26.10",26.1,22.53
"FILL","Nil","iShares MSCI Global Energy Prod",21.1,NA,NA,NA,NA,NA,NA,0.184727681078046,-0.0163170163170162,"https://finance.yahoo.com/quote/FILL?p=FILL","17.81 - 21.45",21.45,17.81
"FKO","Nil","First Trust South Korea AlphaDE",27.58,NA,NA,NA,NA,NA,NA,0.272140221402214,-0.0349895031490553,"https://finance.yahoo.com/quote/FKO?p=FKO","21.68 - 28.58",28.58,21.68
"FTA","Nil","First Trust Large Cap Value Alp",51.77,NA,NA,NA,NA,NA,NA,0.148402839396628,-0.0108903324417272,"https://finance.yahoo.com/quote/FTA?p=FTA","45.08 - 52.34",52.34,45.08
"FXI","Nil","iShares China Large-Cap ETF",46.94,"N/A",NA,NA,NA,NA,NA,0.384252432910646,-0.00424268137462883,"https://finance.yahoo.com/quote/FXI?p=FXI","33.91 - 47.14",47.14,33.91
"FXN","Nil","First Trust Energy AlphaDEX Fun",14.625,"N/A",NA,NA,NA,NA,NA,0.193877551020408,-0.185236768802228,"https://finance.yahoo.com/quote/FXN?p=FXN","12.250 - 17.950",17.95,12.25
"FXO","Nil","First Trust Financials AlphaDEX",30.28,"N/A",NA,NA,NA,NA,NA,0.187450980392157,-0.0111038536903984,"https://finance.yahoo.com/quote/FXO?p=FXO","25.50 - 30.62",30.62,25.5
"G3B.SI","Nil","Nikko AM STI ETF",3.53,"N/A",NA,NA,NA,NA,NA,0.217241379310345,-0.0084269662921349,"https://finance.yahoo.com/quote/G3B.SI?p=G3B.SI","2.90 - 3.56",3.56,2.9
"GBPSGD=X","Nil","GBP/SGD",1.7831,NA,NA,NA,NA,NA,NA,-0.00130500775723504,0.000375891339351306,"https://finance.yahoo.com/quote/GBPSGD=X?p=GBPSGD=X","1.78543 - 1.78243",1.78243,1.78543
"GDXJ","Nil","VanEck Vectors Junior Gold Mine",31.89,"N/A",NA,NA,NA,NA,NA,0.165144318597004,-0.258544524529179,"https://finance.yahoo.com/quote/GDXJ?p=GDXJ","27.37 - 43.01",43.01,27.37
"GGGG","Nil","Global X Pure Gold Miners ETF",0,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/GGGG?p=GGGG","undefined - undefined",NA,NA
"GLD","Nil","SPDR Gold Trust",121.31,"N/A",NA,NA,NA,NA,NA,0.133738317757009,-0.0546290523690772,"https://finance.yahoo.com/quote/GLD?p=GLD","107.00 - 128.32",128.32,107
"GLRE.L","Nil","SSGA SPDR ETFS EUROPE I PLC SPD",36.2,"N/A",NA,NA,NA,NA,NA,0.377997716025885,-0.0165715838087476,"https://finance.yahoo.com/quote/GLRE.L?p=GLRE.L","26.27 - 36.81",36.81,26.27
"GMF","Nil","SPDR S&amp;P Emerging Asia Pacific ",103.81,NA,NA,NA,NA,NA,NA,0.412573139202613,-0.00887912927248418,"https://finance.yahoo.com/quote/GMF?p=GMF","73.49 - 104.74",104.74,73.49
"GMM","Nil","SPDR S&amp;P Emerging Markets ETF",74.87,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/GMM?p=GMM","undefined - undefined",NA,NA
"GULF","Nil","WisdomTree Middle East Dividend",16.87,"N/A",NA,NA,NA,NA,NA,0.0807174887892378,-0.0841476655808904,"https://finance.yahoo.com/quote/GULF?p=GULF","15.61 - 18.42",18.42,15.61
"GUR","Nil","SPDR S&amp;P Emerging Europe ETF",30.24,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/GUR?p=GUR","undefined - undefined",NA,NA
"GXC","Nil","SPDR S&amp;P China ETF",108.93,"N/A",NA,NA,NA,NA,NA,0.548841177306981,-0.00247252747252744,"https://finance.yahoo.com/quote/GXC?p=GXC","70.33 - 109.20",109.2,70.33
"HAO","Nil","Guggenheim China Small Cap Inde",30.31,NA,NA,NA,NA,NA,NA,0.398707891093678,-0.0146293888166451,"https://finance.yahoo.com/quote/HAO?p=HAO","21.67 - 30.76",30.76,21.67
"IDHQ","Nil","PowerShares S&amp;P International D",23.55,NA,NA,NA,NA,NA,NA,0.251993620414673,-0.0280643829962856,"https://finance.yahoo.com/quote/IDHQ?p=IDHQ","18.81 - 24.23",24.23,18.81
"IEER.L","Nil","ISHARES PLC ISHARES MSCI E.EUR ",1810.91,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/IEER.L?p=IEER.L","undefined - undefined",NA,NA
"IGLO.L","Nil","ISHARES III PLC ISHRS GLOBAL GO",107.495,"N/A",NA,NA,NA,NA,NA,0.317663643049767,-0.0241034952337721,"https://finance.yahoo.com/quote/IGLO.L?p=IGLO.L","81.580 - 110.150",110.15,81.58
"ILF","Nil","iShares Latin America 40 ETF",33.1,"N/A",NA,NA,NA,NA,NA,0.252364737041241,-0.0921557871640153,"https://finance.yahoo.com/quote/ILF?p=ILF","26.43 - 36.46",36.46,26.43
"IPW","Nil","SPDR S&amp;P International Energy S",17.799,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/IPW?p=IPW","undefined - undefined",NA,NA
"ISF.L","Nil","ISHARES PLC ISHARES CORE FTSE10",734.568,"N/A",NA,NA,NA,NA,NA,109.411543664512,-0.00262321792260695,"https://finance.yahoo.com/quote/ISF.L?p=ISF.L","6.653 - 736.500",736.5,6.653
"ISRA","Nil","VanEck Vectors Israel ETF",28.67,"N/A",NA,NA,NA,NA,NA,0.0725776281331837,-0.0834398976982097,"https://finance.yahoo.com/quote/ISRA?p=ISRA","26.7300 - 31.2800",31.28,26.73
"IXG","Nil","iShares Global Financial ETF",66.975,NA,NA,NA,NA,NA,NA,0.212436640115858,-0.0219772196261684,"https://finance.yahoo.com/quote/IXG?p=IXG","55.240 - 68.480",68.48,55.24
"JKF","Nil","iShares Morningstar Large-Cap  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/JKF?p=JKF",NA,NA,NA
"JKI","Nil","iShares Morningstar Mid-Cap ETF",152.17,NA,NA,NA,NA,NA,NA,0.0956941244239631,-0.0095033522098549,"https://finance.yahoo.com/quote/JKI?p=JKI","138.88 - 153.63",153.63,138.88
"KBWD","Nil","PowerShares KBW High Dividend Y",23.18,"N/A",NA,NA,NA,NA,NA,0.0399282189322566,-0.070569366479551,"https://finance.yahoo.com/quote/KBWD?p=KBWD","22.29 - 24.94",24.94,22.29
"KBWP","Nil","PowerShares KBW Property &amp; Casu",59.82,NA,NA,NA,NA,NA,NA,0.159976730657359,-0.0198263149270851,"https://finance.yahoo.com/quote/KBWP?p=KBWP","51.57 - 61.03",61.03,51.57
"MCHI","Nil","iShares MSCI China ETF",67.37,"N/A",NA,NA,NA,NA,NA,0.577382346054788,-0.00325491936677022,"https://finance.yahoo.com/quote/MCHI?p=MCHI","42.71 - 67.59",67.59,42.71
"O87.SI","Nil","GLD US$",120.86,"N/A",NA,NA,NA,NA,NA,0.123651915210115,-0.0980597014925373,"https://finance.yahoo.com/quote/O87.SI?p=O87.SI","107.56 - 134.00",134,107.56
"PFI","Nil","PowerShares DWA Financial Momen",33.7974,NA,NA,NA,NA,NA,NA,0.149571428571429,-0.0257307581435571,"https://finance.yahoo.com/quote/PFI?p=PFI","29.4000 - 34.6900",34.69,29.4
"PSP","Nil","PowerShares Listed Private Equi",12.34,"N/A",NA,NA,NA,NA,NA,0.16195856873823,-0.0493066255778121,"https://finance.yahoo.com/quote/PSP?p=PSP","10.62 - 12.98",12.98,10.62
